source	target
The notion of appropriate technology was developed in the 20th century by thinkers such as E. F. Schumacher and Jacques Ellul to describe situations where it was not desirable to use very new technologies or those that required access to some centralized infrastructure or parts or skills imported from elsewhere .	subject <is> The notion of appropriate technology <and> relation <is> was developed in <and> object <is> the 20th century <then> subject <is> The notion of appropriate technology <and> relation <is> was developed by <and> object <is> thinkers such as E. F. Schumacher and Jacques Ellul <then> subject <is> thinkers such as E. F. Schumacher and Jacques Ellul <and> relation <is> developed <and> object <is> The notion of appropriate technology <then> subject <is> The notion of appropriate technology <and> relation <is> was developed to describe <and> object <is> situations <then> subject <is> situations <and> relation <is> where it was not desirable to use <and> object <is> very new technologies <then> subject <is> situations <and> relation <is> where it was not desirable to use <and> object <is> those that required access to some centralized infrastructure <then> subject <is> situations <and> relation <is> where it was not desirable to use <and> object <is> parts or skills imported from elsewhere <then> subject <is> The notion of appropriate technology <and> relation <is> was developed to describe <and> object <is> situations where it was not desirable to use very new technologies or those that required access to some centralized infrastructure or parts or skills imported from elsewhere
China 's Central Government Procurement Center , citing Microsoft 's shutdown of Windows XP security support on April 8 , issued a notice this week banning use of the Windows 8 operating system -LRB- OS -RRB- on new desktops , laptops and tablets by government agencies .	subject <is> China 's Central Government Procurement Center <and> relation <is> issued <and> object <is> a notice this week <then> subject <is> China 's Central Government Procurement Center <and> relation <is> cited <and> object <is> Microsoft 's shutdown of Windows XP security support on April 8 <then> subject <is> the notice <and> relation <is> banning use of <and> object <is> the Windows 8 operating system <then> subject <is> the notice <and> relation <is> banning use of the Windows 8 operating system on <and> object <is> new desktops <then> subject <is> the notice <and> relation <is> banning use of the Windows 8 operating system on <and> object <is> laptops <then> subject <is> the notice <and> relation <is> banning use of the Windows 8 operating system on <and> object <is> tablets <then> subject <is> government agencies <and> relation <is> banning use of <and> object <is> the Windows 8 operating system <then> subject <is> Microsoft 's shutdown of Windows XP security support on April 8 <and> relation <is> was cited by <and> object <is> China 's Central Government Procurement Center <then> subject <is> China 's Central Government Procurement Center <and> relation <is> issued a notice this week banning use of <and> object <is> the Windows 8 operating system
Got out of my own company and decided to earn more money as a consultant .	subject <is> I <and> relation <is> got out of <and> object <is> my own company <then> subject <is> I <and> relation <is> decided to earn more money as <and> object <is> a consultant <then> subject <is> I <and> relation <is> decided to earn more money <and> object <is> as a consultant <then> subject <is> I <and> relation <is> earned more money as <and> object <is> a consultant
Photometry over the course of half a Uranian year -LRB- beginning in the 1950s -RRB- has shown regular variation in the brightness in two spectral bands , with maxima occurring at the solstices and minima occurring at the equinoxes .	subject <is> Photometry <and> relation <is> has shown <and> object <is> regular variation in the brightness <then> subject <is> Photometry <and> relation <is> has shown regular variation in the brightness in <and> object <is> two spectral bands <then> subject <is> maxima <and> relation <is> occurring at <and> object <is> the solstices <then> subject <is> minima <and> relation <is> occurring at <and> object <is> the equinoxes <then> subject <is> Photometry over the course of half a Uranian year <and> relation <is> has shown regular variation in <and> object <is> the brightness in two spectral bands <then> subject <is> maxima <and> relation <is> occurring at <and> object <is> solstices <then> subject <is> minima <and> relation <is> occurring at <and> object <is> equinoxes
An 11-year sunspot cycle is half of a 22-year Babcock -- Leighton dynamo cycle , which corresponds to an oscillatory exchange of energy between toroidal and poloidal solar magnetic fields .	subject <is> An 11-year sunspot cycle <and> relation <is> is half of <and> object <is> a 22-year Babcock -- Leighton dynamo cycle <then> subject <is> A 22-year Babcock -- Leighton dynamo cycle <and> relation <is> corresponds to <and> object <is> an oscillatory exchange of energy between toroidal and poloidal solar magnetic fields <then> subject <is> An 11-year sunspot cycle <and> relation <is> corresponds to <and> object <is> an oscillatory exchange of energy between toroidal and poloidal solar magnetic fields <then> subject <is> An oscillatory exchange of energy <and> relation <is> happens between <and> object <is> toroidal solar magnetic fields <then> subject <is> An oscillatory exchange of energy <and> relation <is> happens between <and> object <is> poloidal solar magnetic fields
She is in custody pending indictment and trial , but any eyewitness evidence may be tainted because her image has been widely published .	subject <is> She <and> relation <is> is in custody pending <and> object <is> indictment <then> subject <is> She <and> relation <is> is in custody pending <and> object <is> trial <then> subject <is> any eyewitness evidence <and> relation <is> may be tainted because <and> object <is> her image has been widely published <then> subject <is> her image <and> relation <is> has been widely published <and> object <is> by the media <then> subject <is> She <and> relation <is> is in custody pending indictment and trial but <and> object <is> any eyewitness evidence may be tainted <then> subject <is> any eyewitness evidence <and> relation <is> may be tainted <and> object <is> because her image has been widely published <then> subject <is> any eyewitness evidence <and> relation <is> may be tainted because <and> object <is> her image
For its 98th consecutive year , the East Texas State Fair opened for operations on Friday in Tyler , Texas in the United States .	subject <is> The East Texas State Fair <and> relation <is> opened for operations <and> object <is> on Friday <then> subject <is> The East Texas State Fair <and> relation <is> opened for operations <and> object <is> in Tyler <then> subject <is> The East Texas State Fair <and> relation <is> opened for operations <and> object <is> in Texas <then> subject <is> The East Texas State Fair <and> relation <is> opened for operations <and> object <is> in the United States <then> subject <is> The East Texas State Fair <and> relation <is> opened for operations in <and> object <is> Tyler, Texas <then> subject <is> The East Texas State Fair <and> relation <is> opened for operations in its 98th consecutive year <and> object <is> the United States <then> subject <is> The East Texas State Fair <and> relation <is> opened for <and> object <is> its 98th consecutive year <then> subject <is> the East Texas State Fair <and> relation <is> opened <and> object <is> for its 98th consecutive year
A whole generation has grown up since Ukraine 's independence and many people , old and young and in the middle , have ideas about sovereignty and politics that are not simply `` ethnic . ''	subject <is> A whole generation <and> relation <is> has grown up since <and> object <is> Ukraine 's independence <then> subject <is> many people <and> relation <is> have ideas about <and> object <is> sovereignty <then> subject <is> many people <and> relation <is> have ideas about <and> object <is> politics <then> subject <is> many people <and> relation <is> are not simply <and> object <is> `` ethnic '' <then> subject <is> people <and> relation <is> include <and> object <is> old <then> subject <is> people <and> relation <is> include <and> object <is> young <then> subject <is> people <and> relation <is> include <and> object <is> those in the middle <then> subject <is> the ideas about sovereignty and politics <and> relation <is> are not simply <and> object <is> `` ethnic '' <then> subject <is> A whole generation <and> relation <is> has grown up since <and> object <is> the independence of Ukraine
Schumacher was induced after suffering severe head trauma following a skiing accident in the French Alps , December last year .	subject <is> Schumacher <and> relation <is> was induced after suffering <and> object <is> severe head trauma <then> subject <is> Schumacher <and> relation <is> was induced after suffering severe head trauma following <and> object <is> a skiing accident <then> subject <is> a skiing accident <and> relation <is> happened in <and> object <is> the French Alps <then> subject <is> the skiing accident <and> relation <is> happened in the French Alps in <and> object <is> December last year <then> subject <is> Schumacher <and> relation <is> suffered <and> object <is> severe head trauma <then> subject <is> Schumacher <and> relation <is> was induced <and> object <is> after suffering severe head trauma
Also a single letter may represent two phonemes , as in English <x> representing / gz / or / ks / .	subject <is> A single letter <and> relation <is> may represent <and> object <is> two phonemes <then> subject <is> A single letter <and> relation <is> may represent two phonemes as in <and> object <is> English <x> <then> subject <is> <x> <and> relation <is> representing <and> object <is> /gz/ <then> subject <is> <x> <and> relation <is> representing <and> object <is> /ks/ <then> subject <is> /gz/ <and> relation <is> or <and> object <is> /ks/ <then> subject <is> English <x> <and> relation <is> representing <and> object <is> /gz/ or /ks/
The Yoga Yajnavalkya discusses eight yoga Asanas -- Swastika , Gomukha , Padma , Vira , Simha , Bhadra , Mukta and Mayura , numerous breathing exercises for body cleansing , and meditation .	subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> eight yoga Asanas <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Swastika <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Gomukha <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Padma <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Vira <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Simha <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Bhadra <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Mukta <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> Mayura <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> numerous breathing exercises for body cleansing <then> subject <is> The Yoga Yajnavalkya <and> relation <is> discusses <and> object <is> meditation
On the day of the attack , President Obama actually said '' ... no acts of terror will ever shake the resolve of this great nation '' .	subject <is> President Obama <and> relation <is> said <and> object <is> '' ... no acts of terror will ever shake the resolve of this great nation '' <then> subject <is> President Obama <and> relation <is> said on the day of <and> object <is> the attack <then> subject <is> '' ... no acts of terror will ever shake the resolve of this great nation '' <and> relation <is> is said by <and> object <is> President Obama <then> subject <is> the day of the attack <and> relation <is> is when <and> object <is> President Obama said '' ... no acts of terror will ever shake the resolve of this great nation ''
Australia 's Libby Kosmala , who at 70 years old was competing in her eleventh Paralympic Games , finished eighth with a score of 488.7 , several points behind the leaders .	subject <is> Libby Kosmala <and> relation <is> was competing in <and> object <is> her eleventh Paralympic Games <then> subject <is> Libby Kosmala <and> relation <is> finished <and> object <is> eighth with a score of 488.7 <then> subject <is> Libby Kosmala <and> relation <is> finished eighth with a score of 488.7 <and> object <is> several points behind the leaders <then> subject <is> Libby Kosmala <and> relation <is> was competing in her eleventh Paralympic Games at <and> object <is> 70 years old <then> subject <is> Libby Kosmala <and> relation <is> finished eighth with a score of <and> object <is> 488.7 <then> subject <is> Libby Kosmala <and> relation <is> is from <and> object <is> Australia
The Capitals turned the ball over more than Sydney , with 22 to the Flames ' 11 .	subject <is> The Capitals <and> relation <is> turned the ball over more than <and> object <is> Sydney <then> subject <is> The Capitals <and> relation <is> turned the ball over <and> object <is> more than 22 <then> subject <is> Sydney <and> relation <is> had <and> object <is> 11 turnovers <then> subject <is> The Capitals <and> relation <is> had <and> object <is> 22 turnovers <then> subject <is> The Capitals <and> relation <is> turned the ball over <and> object <is> more than Sydney's 11
Peter 's mother sought to force him to adopt a more conventional approach , and arranged his marriage to Eudoxia Lopukhina in 1689 .	subject <is> Peter's mother <and> relation <is> sought to force <and> object <is> him to adopt a more conventional approach <then> subject <is> Peter's mother <and> relation <is> arranged <and> object <is> his marriage to <then> subject <is> Peter's mother <and> relation <is> arranged his marriage to Eudoxia Lopukhina in <and> object <is> 1689 <then> subject <is> him <and> relation <is> adopt <and> object <is> a more conventional approach
`` We are committed to promoting equality and diversity so that all students , staff and members of society can be confident that they will be treated with dignity and respect .	subject <is> We <and> relation <is> are committed to promoting <and> object <is> equality and diversity <then> subject <is> We <and> relation <is> are committed to promoting equality and diversity so that <and> object <is> all students <then> subject <is> We <and> relation <is> are committed to promoting equality and diversity so that <and> object <is> staff <then> subject <is> We <and> relation <is> are committed to promoting equality and diversity so that <and> object <is> members of society <then> subject <is> all students <and> relation <is> can be <and> object <is> confident that they will be treated with dignity and respect <then> subject <is> staff <and> relation <is> can be <and> object <is> confident that they will be treated with dignity and respect <then> subject <is> members of society <and> relation <is> can be <and> object <is> confident that they will be treated with dignity and respect <then> subject <is> They <and> relation <is> will be treated with <and> object <is> dignity and respect
This causes a correction in the years 1700 , 1800 , 1900 , 2100 , 2200 , and 2300 .	subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 1700 <then> subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 1800 <then> subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 1900 <then> subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 2100 <then> subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 2200 <then> subject <is> This <and> relation <is> causes <and> object <is> a correction in the years 2300
On Monday , the Australian Associated Press -LRB- AAP -RRB- released a statement saying such government oversight is not required .	subject <is> the Australian Associated Press -LRB- AAP -RRB- <and> relation <is> released <and> object <is> a statement <then> subject <is> the Australian Associated Press -LRB- AAP -RRB- <and> relation <is> released a statement saying <and> object <is> such government oversight is not required <then> subject <is> a statement <and> relation <is> saying <and> object <is> such government oversight is not required <then> subject <is> such government oversight <and> relation <is> is not required <and> object <is> on Monday
Kenseth , who started in the twelfth position , led 78 laps of the 267-lap race .	subject <is> Kenseth <and> relation <is> started in <and> object <is> the twelfth position <then> subject <is> Kenseth <and> relation <is> led <and> object <is> 78 laps of the 267-lap race <then> subject <is> the 267-lap race <and> relation <is> had <and> object <is> 267 laps <then> subject <is> Kenseth <and> relation <is> led 78 laps of <and> object <is> the 267-lap race
The last time a hurricane struck the Gulf coast was in 2008 .	subject <is> A hurricane <and> relation <is> struck <and> object <is> the Gulf coast <then> subject <is> The last time <and> relation <is> a hurricane struck <and> object <is> the Gulf coast <then> subject <is> A hurricane <and> relation <is> struck the Gulf coast <and> object <is> in 2008
Australia and Canada both had their flag bearers from the opening ceremonies represented by this sport , Greg Smith for Australia and Garett Hickling for Canada .	subject <is> Greg Smith <and> relation <is> was flag bearer for <and> object <is> Australia <then> subject <is> Garett Hickling <and> relation <is> was flag bearer for <and> object <is> Canada <then> subject <is> Australia and Canada <and> relation <is> both had <and> object <is> their flag bearers from the opening ceremonies represented by this sport <then> subject <is> the opening ceremonies represented by this sport <and> relation <is> had <and> object <is> flag bearers from
Buzica is the thirteenth location awarded .	subject <is> Buzica <and> relation <is> is <and> object <is> the thirteenth location awarded
If pathogens breach these defenses , fish can develop an inflammatory response that increases blood flow to the infected region and delivers white blood cells that attempt to destroy pathogens .	subject <is> pathogens <and> relation <is> breach <and> object <is> these defenses <then> subject <is> fish <and> relation <is> can develop <and> object <is> an inflammatory response <then> subject <is> inflammatory response <and> relation <is> increases <and> object <is> blood flow to the infected region <then> subject <is> inflammatory response <and> relation <is> delivers <and> object <is> white blood cells <then> subject <is> white blood cells <and> relation <is> attempt to destroy <and> object <is> pathogens <then> subject <is> inflammatory response <and> relation <is> increases blood flow to <and> object <is> the infected region <then> subject <is> fish <and> relation <is> can develop an inflammatory response that increases <and> object <is> blood flow to the infected region <then> subject <is> fish <and> relation <is> can develop an inflammatory response that delivers <and> object <is> white blood cells
The People 's Republic of China under Mao exhibited the oppressive tendencies that were discernible in all the major absolutist regimes of the twentieth century .	subject <is> The People's Republic of China under Mao <and> relation <is> exhibited <and> object <is> the oppressive tendencies <then> subject <is> the oppressive tendencies <and> relation <is> were discernible in <and> object <is> all the major absolutist regimes of the twentieth century <then> subject <is> The People's Republic of China under Mao <and> relation <is> exhibited the oppressive tendencies that were discernible in <and> object <is> all the major absolutist regimes of the twentieth century <then> subject <is> The People's Republic of China under Mao <and> relation <is> exhibited the oppressive tendencies that were discernible in all the major absolutist regimes <and> object <is> of the twentieth century
Both teams were playing for pride as neither could progress to the finals .	subject <is> Both teams <and> relation <is> were playing for <and> object <is> pride <then> subject <is> Neither <and> relation <is> could progress to <and> object <is> the finals <then> subject <is> Both teams <and> relation <is> could progress to <and> object <is> the finals <then> subject <is> Both teams <and> relation <is> were playing for the pride as <and> object <is> neither
The highest such number that the eye can resolve as stripes , or distinguish from a grey block , is then the measurement of visual acuity of the eye .	subject <is> The highest such number <and> relation <is> can resolve as <and> object <is> stripes <then> subject <is> The highest such number <and> relation <is> can distinguish from <and> object <is> a grey block <then> subject <is> The highest such number <and> relation <is> is <and> object <is> the measurement of visual acuity of the eye <then> subject <is> The measurement of visual acuity of the eye <and> relation <is> is based on <and> object <is> the highest such number <then> subject <is> The highest such number <and> relation <is> is then <and> object <is> the measurement of visual acuity of the eye
Although memory has traditionally been a persistent theme in philosophy , the late nineteenth and early twentieth centuries also saw the study of memory emerge as a subject of inquiry within the paradigms of cognitive psychology .	subject <is> Memory <and> relation <is> has traditionally been <and> object <is> a persistent theme in philosophy <then> subject <is> The late nineteenth and early twentieth centuries <and> relation <is> also saw <and> object <is> the study of memory emerge as a subject of inquiry <then> subject <is> The study of memory <and> relation <is> emerged as <and> object <is> a subject of inquiry within the paradigms of cognitive psychology <then> subject <is> The late nineteenth and early twentieth centuries <and> relation <is> saw <and> object <is> the study of memory emerge as a subject of inquiry <then> subject <is> Memory <and> relation <is> has been <and> object <is> a persistent theme in philosophy <then> subject <is> The late nineteenth and early twentieth centuries <and> relation <is> also saw the study of memory <and> object <is> emerge as a subject of inquiry
The Enlightenment 's desacrilization of religion was pronounced in the tree 's design , particularly where theology accounted for a peripheral branch , with black magic as a close neighbour .	subject <is> The Enlightenment's <and> relation <is> desacrilization of <and> object <is> religion <then> subject <is> desacrilization of religion <and> relation <is> was pronounced in <and> object <is> the tree's design <then> subject <is> the tree's design <and> relation <is> accounted for <and> object <is> a peripheral branch <then> subject <is> theology <and> relation <is> accounted for <and> object <is> a peripheral branch <then> subject <is> black magic <and> relation <is> was <and> object <is> a close neighbour <then> subject <is> theology <and> relation <is> accounted for a peripheral branch with <and> object <is> black magic <then> subject <is> The Enlightenment's <and> relation <is> desacrilization of religion was pronounced in the tree's design <and> object <is> particularly where
